title,matched_title,keywords
Advanced Worker's Compensation,2023 Advanced Worker's Compensation,Workers' compensation
Applied Professionalism,2023 Applied Professionalism,"Practice of law, Legal ethics, Lawyers malpractice"
Elder Law Institute,2023 Elder Law Institute,"Older people, Legal assistance to older people"
Worker's Compensation Institute,2023 Worker's Compensation Institute,Workers' compensation
22nd Annual Family Law Institute,21st Annual Family Law Institute,Domestic relations
24th Annual Indiana Property Tax Institute,23rd Annual Indiana Property Tax Institute,Property tax
46th Annual Judge Robert H. Staton Indiana Law Update,45th Annual Judge Robert H. Staton Indiana Law Update,Indiana law
"51st Annual Midwest Estate, Tax and Business Planning Institute","50th Annual Midwest Estate, Tax and Business Planning Institute","Estate planning, Tax planning"
"90 Hot Tips in Estate, Trust & Probate Practice","90 Hot Tips in Estate, Trust and Probate Practice","Estate planning, Probate law and practice"
Adult Guardianship Training,Adult Guardianship Training,Guardian and ward
Advanced Civil Mediation,Advanced Civil Mediation,"Mediation, Dispute resolution (Law)"
Advanced Corporate Counsel,Advanced Corporate Counsel,"Corporation law, Corporation lawyers, Practice of law"
Advanced Elder Law,Advanced Elder Law,"Older people, Legal assistance to older people"
Advanced Family Law (South),Advanced Family Law (South),Domestic relations
Advanced Issues in DUI Defense,Advanced Issues in DUI Defense,"Drunk driving, Traffic violations, Actions and defenses"
Annual DUI Defense Update,Annual DUI Defense Update,"Drunk driving, Traffic violations, Actions and defenses"
CME for Family Mediators,CME for Family Mediators,"Family mediation, Dispute resolution"
Gain The Edge! Negotiating To Get What You Want,Gain the Edge! - Negotiating To Get What You Want,"Negotiation in business, Negotiation"
Legislative Update,Legislative Update 2023,Indiana law
Recent Developments in Employment Law,Recent Developments in Employment Law,Labor laws and legislation
Sigmund J. Beck Advanced Bankruptcy Roundtable,Sigmund J. Beck Advanced Bankruptcy Roundtable,Bankruptcy
Steven H. Ancel Annual Bankruptcy Institute,Steven H. Ancel Annual Bankruptcy Institute,Bankruptcy
36th Annual Medicaid in Indiana for the Elderly and Disabled,,
60 Ethics Tips in 60 Minutes,,
2024 Year in Review,,
"2024's Best Legal Tech Tips, Tricks, Services, Gadgets and Websites",,
A Lawyer's Guide to Microsoft 365,,
A Lawyer's Guide to PDF Files,,
Advanced Employment Law,,
Advanced Federal Practice,,
"Bankruptcy, Debtor and creditor",,
Advanced Issues in Immigration,,
Advanced Issues in Indiana Gaming,,
Advanced Issues in Real Estate,,
Advanced Trucking Litigation,,
Best Practices for Fiduciary Accountings & Procedures in Probate Practice,,
CME Update for Civil Mediators,,
Construction Accident and Commercial Premises Liability Cases,,
Copyright 101_ The Basics in an Hour,,
Document & Process Mapping Your Processes for Better Time Management,,
Electronic Document Security & Digital Signatures,,
Elevate Your Family Law Practice,,
Elevating Your Estate Planning Practice,,
Exploring Juneteenth Historical Foundations & Legal Milestones in Indiana,,
Handling Cases Involving Eggshell Plaintiffs,,
How to Fight & Beat Procrastination & Master Your Workday for Lawyers,,
"How to Fix Microsoft Outlook's Default Settings, & Access It's Best Features for Managing High Volume Email",,
How to Manage Documents & Email in the Law Practice - Getting your Digital House in Order!,,
How to Use Litigation Technology to Prepare & Present Your Case at Trial,,
Just Tips! A Half-Day of Legal Technology Tips & Tricks,,
Key Elements of Accounting for Estate Planning Lawyers,,
Law & The Good Life,,
Lemon Law,,
Lithium Batteries_ Legal Issues and Liability Considerations,,
Microsoft Word Automatic Paragraph Numbering,,
Midwest I.P. Summit,,
Navigating Medical Malpractice,,
PCF_How to Successfully Litigate Claims,,
Social Security Disability Law,,
Starting a New Firm - What You Need to Know,,
Subrogation Law,,
Survivor's Guide to Probate & Trust Administration,,
The ABCs of SNTs,,
The Ethics & Malpractice Risks of AI,,
The Ethics Triangle,,
The New Guardian ad Litem Guidelines - What you need to know!,,
The Value of Qualified Asset Appraisals for Lawyers,,
Trust Account School,,
Unraveling the Mysteries of Employee Benefits Law,,
Using a Focus Group in Litigation,,
Using Purpose Trusts in Business Succession Planning,,
Using Technology to Manage a Distributed Workforce & Work Together Seamlessly,,
