Title (iclef_2024 (2).txt),Matched Title (iclef_2023_1.txt),Keyword (iclef_2023_1.txt)
22nd Annual Family Law Institute,21st Annual Family Law Institute,Domestic relations
24th Annual Indiana Property Tax Institute,23rd Annual Indiana Property Tax Institute,Property tax
46th Annual Judge Robert H. Staton Indiana Law Update,45th Annual Judge Robert H. Staton Indiana Law Update,Indiana law
"""51st Annual Midwest Estate, Tax and Business Planning Institute""","""50th Annual Midwest Estate, Tax and Business Planning Institute"" ","""Estate planning, Tax planning"" "
"""90 Hot Tips in Estate, Trust & Probate Practice""","""90 Hot Tips in Estate, Trust and Probate Practice"" ","""Estate planning, Probate law and practice"" "
2024 Year in Review,Year in Review,Indiana law
Adult Guardianship Training,Adult Guardianship Training,Guardian and ward
Advanced Civil Mediation,Advanced Civil Mediation,"""Mediation, Dispute resolution (Law)"" "
Advanced Corporate Counsel,Advanced Corporate Counsel,"""Corporation law, Corporation lawyers, Practice of law"" "
Advanced Elder Law,Advanced Elder Law,"""Older people, Legal assistance to older people"" "
Advanced Family Law (South),Advanced Family Law (South),Domestic relations
Advanced Issues in DUI Defense,Advanced Issues in DUI Defense,"""Drunk driving, Traffic violations, Actions and defenses"" "
Advanced Issues in Immigration,7th Annual Advanced Issues in Immigration,"""Emmigration and immigration law, Noncitizens"" "
Advanced Worker's Compensation,2023 Advanced Worker's Compensation,Workers' compensation
Annual DUI Defense Update,Annual DUI Defense Update,"""Drunk driving, Traffic violations, Actions and defenses"" "
Applied Professionalism,2023 Applied Professionalism,"""Practice of law, Legal ethics, Lawyers malpractice"" "
CME for Family Mediators,CME for Family Mediators,"""Family mediation, Dispute resolution"" "
CME Update for Civil Mediators,CME Update for Civil Mediators_ Advancing Your Civil Mediation Practice,"""Family mediation, Dispute resolution"" "
Elder Law Institute,2023 Elder Law Institute,"""Older people, Legal assistance to older people"" "
Gain The Edge! Negotiating To Get What You Want,Gain the Edge! - Negotiating To Get What You Want,"""Negotiation in business, Negotiation"" "
Legislative Update,Legislative Update 2023,Indiana law
Midwest I.P. Summit,Midwest Intellectual Property Summit,Intellectual property
Recent Developments in Employment Law,Recent Developments in Employment Law,Labor laws and legislation
Sigmund J. Beck Advanced Bankruptcy Roundtable,Sigmund J. Beck Advanced Bankruptcy Roundtable,Bankruptcy
Steven H. Ancel Annual Bankruptcy Institute,Steven H. Ancel Annual Bankruptcy Institute,Bankruptcy
Survivor's Guide to Probate & Trust Administration,Survivor's Guide to Everyday Estate Planning,"""Estate planning, Probate law and practice, Trust and trustees"" "
The Ethics Triangle,2023 - The Ethics Triangle,"""Ethics Lawyers, Lawyers Malpractice, Practice of law"" "
Worker's Compensation Institute,2023 Worker's Compensation Institute,Workers' compensation
