title_2024,matched_2023_title,keywords,similarity
The Ethics Triangle,2023 - The Ethics Triangle,"Ethics Lawyers, Lawyers Malpractice, Practice of law",0.959
Advanced Worker's Compensation,2023 Advanced Worker's Compensation,Workers' compensation,0.972
Applied Professionalism,2023 Applied Professionalism,"Practice of law, Legal ethics, Lawyers malpractice",0.966
Elder Law Institute,2023 Elder Law Institute,"Older people, Legal assistance to older people",0.959
Worker's Compensation Institute,2023 Worker's Compensation Institute,Workers' compensation,0.973
22nd Annual Family Law Institute,21st Annual Family Law Institute,Domestic relations,0.967
24th Annual Indiana Property Tax Institute,23rd Annual Indiana Property Tax Institute,Property tax,0.975
46th Annual Judge Robert H. Staton Indiana Law Update,45th Annual Judge Robert H. Staton Indiana Law Update,Indiana law,0.993
"""51st Annual Midwest Estate, Tax and Business Planning Institute""","50th Annual Midwest Estate, Tax and Business Planning Institute","Estate planning, Tax planning",0.989
Advanced Issues in Immigration,7th Annual Advanced Issues in Immigration,"Emmigration and immigration law, Noncitizens",0.816
"""90 Hot Tips in Estate, Trust & Probate Practice""","90 Hot Tips in Estate, Trust and Probate Practice","Estate planning, Probate law and practice",0.904
Adult Guardianship Training,Adult Guardianship Training,Guardian and ward,1
Advanced Civil Mediation,Advanced Civil Mediation,"Mediation, Dispute resolution (Law)",1
Advanced Corporate Counsel,Advanced Corporate Counsel,"Corporation law, Corporation lawyers, Practice of law",1
Advanced Elder Law,Advanced Elder Law,"Older people, Legal assistance to older people",1
Advanced Employment Law,Advanced Elder Law,"Older people, Legal assistance to older people",0.598
Advanced Family Law (South),Advanced Family Law (South),Domestic relations,1
Advanced Issues in DUI Defense,Advanced Issues in DUI Defense,"Drunk driving, Traffic violations, Actions and defenses",1
Annual DUI Defense Update,Annual DUI Defense Update,"Drunk driving, Traffic violations, Actions and defenses",1
CME Update for Civil Mediators,CME for Family Mediators,"Family mediation, Dispute resolution",0.584
CME for Family Mediators,CME for Family Mediators,"Family mediation, Dispute resolution",1
Advanced Federal Practice,Federal Civil Practice,Civil procedure,0.563
Gain The Edge! Negotiating To Get What You Want,Gain the Edge! - Negotiating To Get What You Want,"Negotiation in business, Negotiation",1
Legislative Update,Legislative Update 2023,Indiana law,0.957
Midwest I.P. Summit,Midwest Intellectual Property Summit,Intellectual property,1
Recent Developments in Employment Law,Recent Developments in Employment Law,Labor laws and legislation,1
Sigmund J. Beck Advanced Bankruptcy Roundtable,Sigmund J. Beck Advanced Bankruptcy Roundtable,Bankruptcy,1
Steven H. Ancel Annual Bankruptcy Institute,Steven H. Ancel Annual Bankruptcy Institute,Bankruptcy,1
The Ethics & Malpractice Risks of AI,The Ethics & Malpractice Risk of _Zealous Representation_,"Practice of law, Lawyers, Malpractice",0.554
2024 Year in Review,Year in Review,Indiana law,0.947
"""2024's Best Legal Tech Tips, Tricks, Services, Gadgets and Websites""",,,0.384
"""Bankruptcy, Debtor and creditor""",,,0.235
"""How to Fix Microsoft Outlook's Default Settings, & Access It's Best Features for Managing High Volume Email""",,,0.174
36th Annual Medicaid in Indiana for the Elderly and Disabled,,,0.275
60 Ethics Tips in 60 Minutes,,,0.414
A Lawyer's Guide to Microsoft 365,,,0.488
A Lawyer's Guide to PDF Files,,,0.466
Advanced Issues in Indiana Gaming,,,0.512
Advanced Issues in Real Estate,,,0.547
Advanced Trucking Litigation,,,0.372
Best Practices for Fiduciary Accountings & Procedures in Probate Practice,,,0.292
Construction Accident and Commercial Premises Liability Cases,,,0.206
Copyright 101_ The Basics in an Hour,,,0.285
Document & Process Mapping Your Processes for Better Time Management,,,0.324
Electronic Document Security & Digital Signatures,,,0.226
Elevate Your Family Law Practice,,,0.382
Elevating Your Estate Planning Practice,,,0.324
Exploring Juneteenth Historical Foundations & Legal Milestones in Indiana,,,0.271
Handling Cases Involving Eggshell Plaintiffs,,,0.156
How to Fight & Beat Procrastination & Master Your Workday for Lawyers,,,0.293
How to Manage Documents & Email in the Law Practice - Getting your Digital House in Order!,,,0.287
How to Use Litigation Technology to Prepare & Present Your Case at Trial,,,0.272
Just Tips! A Half-Day of Legal Technology Tips & Tricks,,,0.288
Key Elements of Accounting for Estate Planning Lawyers,,,0.305
Law & The Good Life,,,0.271
Lemon Law,,,0.318
Lithium Batteries_ Legal Issues and Liability Considerations,,,0.22
Microsoft Word Automatic Paragraph Numbering,,,0.303
Navigating Medical Malpractice,,,0.216
PCF_How to Successfully Litigate Claims,,,0.233
Social Security Disability Law,,,0.228
Starting a New Firm - What You Need to Know,,,0.429
Subrogation Law,,,0.296
Survivor's Guide to Probate & Trust Administration,,,0.427
The ABCs of SNTs,,,0.324
The New Guardian ad Litem Guidelines - What you need to know!,,,0.389
The Value of Qualified Asset Appraisals for Lawyers,,,0.275
Trust Account School,,,0.158
Unraveling the Mysteries of Employee Benefits Law,,,0.295
Using Purpose Trusts in Business Succession Planning,,,0.266
Using Technology to Manage a Distributed Workforce & Work Together Seamlessly,,,0.227
Using a Focus Group in Litigation,,,0.278
